"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_zp_data_78","Технічні дані 78 (не налаштовано)","Technical data 78 (not configured)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)","Технічні дані 78 (не налаштовано)",
"str_zp_data_78_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_79","Технічні дані 79 (не налаштовано)","Technical data 79 (not configured)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)","Технічні дані 79 (не налаштовано)",
"str_zp_data_79_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_80","Технічні дані 80 (не налаштовано)","Technical data 80 (not configured)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)","Технічні дані 80 (не налаштовано)",
"str_zp_data_80_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_81","Технічні дані 81 (не налаштовано)","Technical data 81 (not configured)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)",
"str_zp_data_81_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_82","Технічні дані 82 (не налаштовано)","Technical data 82 (not configured)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)",
"str_zp_data_82_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_83","Технічні дані 83 (не налаштовано)","Technical data 83 (not configured)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)",
"str_zp_data_83_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_84","Технічні дані 84 (не налаштовано)","Technical data 84 (not configured)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)",
"str_zp_data_84_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_85","Технічні дані 85 (не налаштовано)","Technical data 85 (not configured)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)",
"str_zp_data_85_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_86","Технічні дані 86 (не налаштовано)","Technical data 86 (not configured)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)",
"str_zp_data_86_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_87","Технічні дані 87 (не налаштовано)","Technical data 87 (not configured)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)",
"str_zp_data_87_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_88","Технічні дані 88 (не налаштовано)","Technical data 88 (not configured)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)",
"str_zp_data_88_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_89","Технічні дані 89 (не налаштовано)","Technical data 89 (not configured)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)",
"str_zp_data_89_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_data_90","Технічні дані 90 (не налаштовано)","Technical data 90 (not configured)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)",
"str_zp_data_90_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"str_zp_ui_pick_title","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета","Виберіть клас предмета",
